id_votante,id_centro
1,20
27,20
36,20
42,20
43,20
59,20
86,20
113,20
117,20
126,20
130,20
212,20
275,20
313,20
322,20
324,20
326,20
396,20
405,20
433,20
437,20
493,20
512,20
594,20
666,20
671,20
684,20
700,20
762,20
844,20
887,20
894,20
911,20
923,20
944,20
946,20
955,20
960,20
988,20
989,20
1010,20
1038,20
1045,20
1126,20
124,20
328,20
342,20
344,20
369,20
378,20
462,20
608,20
638,20
722,20
772,20
802,20
827,20
888,20
999,20
1056,20
1105,20
568,20
259,20
727,20
1072,20
602,20
939,20
3,14
73,14
97,14
108,14
110,14
131,14
132,14
138,14
153,14
183,14
193,14
198,14
199,14
203,14
238,14
294,14
333,14
345,14
354,14
391,14
453,14
456,14
469,14
474,14
478,14
479,14
497,14
501,14
506,14
518,14
528,14
531,14
548,14
563,14
569,14
584,14
601,14
646,14
648,14
655,14
674,14
701,14
705,14
713,14
717,14
759,14
770,14
810,14
840,14
851,14
890,14
915,14
931,14
940,14
950,14
961,14
969,14
973,14
977,14
979,14
982,14
987,14
992,14
993,14
998,14
1001,14
1004,14
1021,14
1022,14
1025,14
1031,14
1037,14
1042,14
1047,14
1049,14
1059,14
1062,14
1063,14
1068,14
1082,14
1084,14
1093,14
1095,14
1096,14
1101,14
1112,14
1121,14
2,14
206,14
591,14
880,14
986,14
1036,14
5,1
17,1
18,1
24,1
32,1
45,1
48,1
54,1
62,1
66,1
75,1
87,1
95,1
99,1
100,1
105,1
109,1
119,1
127,1
128,1
129,1
144,1
147,1
148,1
152,1
154,1
155,1
162,1
167,1
170,1
173,1
175,1
176,1
179,1
186,1
189,1
192,1
195,1
197,1
204,1
209,1
232,1
240,1
241,1
242,1
245,1
246,1
247,1
254,1
267,1
274,1
279,1
281,1
289,1
293,1
305,1
319,1
320,1
321,1
329,1
337,1
346,1
355,1
358,1
361,1
366,1
367,1
368,1
372,1
373,1
374,1
377,1
380,1
387,1
398,1
399,1
400,1
403,1
413,1
415,1
428,1
445,1
447,1
6,9
14,9
15,9
25,9
30,9
31,9
35,9
38,9
44,9
46,9
47,9
49,9
50,9
52,9
53,9
61,9
64,9
65,9
68,9
74,9
80,9
85,9
88,9
92,9
93,9
94,9
96,9
102,9
116,9
125,9
137,9
139,9
143,9
149,9
150,9
160,9
161,9
166,9
169,9
178,9
190,9
194,9
202,9
205,9
211,9
221,9
222,9
224,9
227,9
228,9
235,9
243,9
244,9
253,9
258,9
260,9
266,9
272,9
276,9
277,9
284,9
295,9
308,9
314,9
315,9
327,9
334,9
335,9
336,9
339,9
340,9
343,9
347,9
350,9
353,9
357,9
359,9
362,9
364,9
379,9
390,9
393,9
394,9
402,9
408,9
409,9
411,9
414,9
418,9
420,9
425,9
426,9
429,9
430,9
436,9
442,9
444,9
446,9
448,9
452,9
457,9
459,9
470,9
476,9
477,9
483,9
487,9
489,9
490,9
499,9
505,9
526,9
540,9
541,9
545,9
547,9
549,9
560,9
562,9
564,9
566,9
575,9
580,9
581,9
582,9
586,9
587,9
589,9
597,9
598,9
599,9
604,9
605,9
606,9
612,9
613,9
622,9
626,9
627,9
631,9
633,9
636,9
639,9
644,9
653,9
654,9
656,9
663,9
675,9
681,9
685,9
687,9
688,9
690,9
691,9
694,9
695,9
697,9
698,9
702,9
703,9
711,9
715,9
718,9
719,9
724,9
726,9
729,9
731,9
733,9
734,9
741,9
753,9
766,9
777,9
779,9
780,9
782,9
786,9
787,9
789,9
790,9
791,9
797,9
800,9
801,9
806,9
812,9
818,9
819,9
822,9
823,9
829,9
830,9
831,9
833,9
842,9
845,9
848,9
850,9
852,9
854,9
855,9
860,9
872,9
875,9
877,9
885,9
892,9
903,9
904,9
905,9
913,9
920,9
921,9
922,9
925,9
927,9
936,9
937,9
949,9
952,9
953,9
954,9
956,9
962,9
965,9
968,9
978,9
980,9
984,9
990,9
994,9
995,9
1002,9
1003,9
1006,9
1007,9
1009,9
1012,9
1017,9
1024,9
1029,9
1030,9
1032,9
1034,9
1039,9
1040,9
1043,9
1052,9
1057,9
1058,9
1064,9
1065,9
1066,9
1071,9
1073,9
1074,9
1076,9
1080,9
1085,9
1086,9
1087,9
1088,9
1089,9
1090,9
1098,9
1100,9
1103,9
1107,9
1109,9
1111,9
1120,9
1124,9
1125,9
1132,9
1134,9
7,16
16,16
26,16
51,16
67,16
78,16
84,16
156,16
172,16
200,16
217,16
218,16
236,16
262,16
278,16
331,16
341,16
349,16
392,16
419,16
431,16
488,16
523,16
525,16
538,16
617,16
661,16
709,16
742,16
758,16
763,16
784,16
808,16
815,16
909,16
919,16
932,16
947,16
957,16
964,16
966,16
967,16
971,16
1008,16
1011,16
1067,16
1097,16
1104,16
1115,16
29,16
1050,16
77,16
404,16
578,16
1117,16
57,16
135,16
207,16
360,16
389,16
530,16
645,16
679,16
757,16
859,16
879,16
898,16
910,16
1033,16
1106,16
112,16
184,16
332,16
461,16
571,16
768,16
847,16
926,16
1046,16
1077,16
114,16
271,16
386,16
440,16
511,16
515,16
11,3
21,3
22,3
23,3
39,3
60,3
71,3
107,3
136,3
142,3
187,3
188,3
231,3
233,3
263,3
280,3
323,3
375,3
383,3
384,3
407,3
416,3
435,3
438,3
439,3
441,3
443,3
451,3
464,3
471,3
495,3
507,3
517,3
535,3
550,3
572,3
583,3
590,3
610,3
628,3
642,3
658,3
672,3
693,3
699,3
747,3
761,3
764,3
769,3
773,3
803,3
858,3
866,3
881,3
893,3
918,3
924,3
928,3
945,3
970,3
981,3
1000,3
1005,3
1019,3
1028,3
1044,3
1048,3
1078,3
1092,3
1102,3
1118,3
1119,3
1122,3
1128,3
1129,3
307,3
12,4
40,4
56,4
58,4
118,4
145,4
196,4
216,4
229,4
248,4
309,4
382,4
397,4
434,4
485,4
514,4
521,4
588,4
651,4
669,4
670,4
712,4
714,4
736,4
785,4
794,4
816,4
835,4
865,4
868,4
869,4
886,4
902,4
917,4
935,4
938,4
959,4
1016,4
1079,4
755,4
13,4
20,4
111,4
182,4
256,4
290,4
410,4
465,4
567,4
696,4
723,4
775,4
805,4
841,4
857,4
991,4
1094,4
19,4
28,4
34,4
55,4
98,4
151,4
185,4
234,4
292,4
299,4
303,4
603,4
657,4
682,4
874,4
930,4
983,4
1061,4
423,4
828,4
270,4
467,4
665,4
826,4
1051,4
1055,4
33,28
82,28
89,28
90,28
91,28
120,28
214,28
237,28
252,28
264,28
286,28
296,28
304,28
317,28
376,28
432,28
508,28
534,28
543,28
546,28
609,28
614,28
616,28
637,28
662,28
683,28
735,28
792,28
796,28
809,28
814,28
834,28
873,28
906,28
951,28
972,28
974,28
985,28
996,28
1027,28
1060,28
1070,28
1114,28
37,28
103,28
104,28
106,28
201,28
239,28
251,28
268,28
351,28
365,28
424,28
472,28
502,28
553,28
621,28
623,28
738,28
781,28
824,28
849,28
1041,28
1075,28
1110,28
1127,28
593,28
643,28
664,28
707,28
749,28
896,28
1026,28
141,28
273,28
417,28
500,28
551,28
615,28
649,28
710,28
767,28
41,8
69,8
70,8
121,8
134,8
158,8
163,8
249,8
257,8
287,8
298,8
302,8
330,8
356,8
406,8
449,8
450,8
454,8
463,8
475,8
481,8
486,8
496,8
498,8
503,8
504,8
510,8
513,8
516,8
520,8
522,8
527,8
536,8
537,8
539,8
542,8
552,8
574,8
576,8
577,8
592,8
595,8
596,8
600,8
607,8
611,8
618,8
619,8
624,8
625,8
632,8
635,8
647,8
650,8
660,8
673,8
678,8
686,8
689,8
692,8
704,8
708,8
743,8
745,8
750,8
756,8
765,8
778,8
783,8
788,8
793,8
795,8
798,8
799,8
813,8
820,8
821,8
825,8
836,8
843,8
853,8
861,8
862,8
863,8
864,8
867,8
870,8
876,8
878,8
884,8
889,8
891,8
895,8
900,8
907,8
912,8
914,8
916,8
929,8
941,8
948,8
958,8
63,7
123,7
133,7
159,7
171,7
174,7
177,7
291,7
306,7
316,7
318,7
348,7
395,7
455,7
492,7
494,7
519,7
620,7
668,7
676,7
706,7
730,7
746,7
752,7
754,7
771,7
817,7
871,7
934,7
963,7
976,7
1083,7
1130,7
9,7
208,7
509,7
634,7
933,7
10,7
157,7
220,7
226,7
282,7
422,7
427,7
491,7
720,7
732,7
811,7
846,7
899,7
901,7
942,7
1015,7
1053,7
1131,7
79,7
300,7
370,7
385,7
412,7
556,7
573,7
585,7
652,7
667,7
721,7
751,7
1014,7
1069,7
1091,7
101,7
388,7
737,7
122,7
146,7
165,7
180,7
363,7
421,7
468,7
480,7
544,7
725,7
832,7
164,7
168,7
230,7
269,7
285,7
401,7
659,7
744,7
837,7
838,7
839,7
1108,7
215,7
255,7
716,7
739,7
1035,7
265,7
1099,7
629,7
630,7
640,7
760,7
856,7
1018,7
1133,7
72,15
83,15
115,15
140,15
181,15
191,15
213,15
225,15
250,15
261,15
288,15
301,15
325,15
352,15
371,15
381,15
458,15
466,15
473,15
482,15
484,15
524,15
529,15
532,15
533,15
557,15
561,15
570,15
641,15
677,15
740,15
774,15
776,15
804,15
882,15
883,15
943,15
975,15
997,15
1020,15
1123,15
4,15
8,15
76,15
81,15
210,15
219,15
223,15
310,15
312,15
338,15
554,15
579,15
807,15
897,15
1013,15
1113,15
555,15
558,15
1054,15
283,15
311,15
460,15
748,15
1023,15
1081,15
297,15
559,15
565,15
680,15
728,15
908,15
1116,15
